Percentage Volume,Proportion 
0.016463,0.6000000
0.017401,0.5333333
0.020913,0.5833333
0.014610,0.5666667
0.016290,0.6500000
0.013067,0.6166667
0.014573,0.7000000
0.013777,0.4833333
0.014947,0.5172414
0.016299,0.6500000
0.012242,0.6666667
0.014228,0.7796610
0.015515,0.5333333
0.012659,0.5166667
0.016790,0.5862069
0.016173,0.5833333
0.015884,0.5000000
0.019963,0.6166667
0.011747,0.6333333
0.017818,0.6333333
0.007571,0.5833333
0.014525,0.6206897
0.011120,0.6500000
0.019810,0.7833333
0.019524,0.7666667
0.020507,0.5833333
0.013553,0.6666667
0.017279,0.5000000
0.016872,0.6440678
0.019188,0.5833333
0.015626,0.6500000
0.016691,0.6666667
0.017005,0.6166667
0.018066,0.6500000
0.019177,0.7166667
0.019191,0.6166667
0.015146,0.6333333
0.028086,0.5166667
0.015603,0.7333333
0.014188,0.5166667
0.019787,0.6166667
0.016470,0.5500000
0.019820,0.7586207
0.017260,0.6896552
0.015041,0.7457627
0.014267,0.7500000
0.010798,0.5833333
0.015992,0.6666667
0.018806,0.5833333
0.014722,0.6666667
0.014642,0.6333333
0.012624,0.5932203
0.017331,0.7333333
0.017690,0.4833333
0.015620,0.6610169
0.034318,0.6500000
0.014388,0.7166667
0.014439,0.7627119
0.013131,0.8000000
0.015564,0.6666667
0.017202,
