id,id_str,has_tweet_coordinates,default_profile_image,has_description,tweet_favourited_count,user_favourites_count,followers_count,followings_count,retweet_count,user_activity_count,verified,has_text_url,has_exclamation,has_first_noun_words,has_hash,has_mention,has_qmark,polarity_positive,polarity_negative,subjectivity_positive,subjectivity_negative
0,1.12E+18,0,FALSE,1,0,2534,154,7,0,3469,FALSE,FALSE,0,FALSE,FALSE,TRUE,0,TRUE,FALSE,TRUE,FALSE
1,1.12E+18,0,FALSE,1,0,7311,534,2366,0,26804,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
2,1.12E+18,0,FALSE,1,2,47720,903,85,2,304310,FALSE,FALSE,1,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE
3,1.12E+18,0,FALSE,1,0,0,473,0,0,309542,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
4,1.12E+18,0,TRUE,0,0,0,4,14,0,2,FALSE,TRUE,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,FALSE
5,1.12E+18,0,FALSE,1,0,3671,47576,46064,0,6561,FALSE,TRUE,0,FALSE,TRUE,TRUE,1,TRUE,FALSE,TRUE,FALSE
6,1.12E+18,0,FALSE,1,0,5945,697,781,0,3060,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
7,1.12E+18,0,FALSE,1,10,14557,186,148,3,3924,FALSE,FALSE,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE
8,1.12E+18,0,FALSE,1,0,0,4,2,0,5783,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
9,1.12E+18,0,FALSE,1,0,5945,697,781,0,3060,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
10,1.12E+18,0,FALSE,1,1,3060,2612,3437,1,5547,FALSE,TRUE,0,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE
11,1.12E+18,0,FALSE,1,0,0,3634,0,0,207501,FALSE,TRUE,0,FALSE,FALSE,FALSE,1,FALSE,TRUE,TRUE,FALSE
12,1.12E+18,0,FALSE,1,0,216,997,2744,0,7570,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
13,1.12E+18,0,FALSE,1,0,1466,103,141,0,11287,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
14,1.12E+18,0,FALSE,1,0,63,2461,2319,0,79177,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
15,1.12E+18,0,FALSE,1,8,1982,339,375,1,1548,FALSE,TRUE,0,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE
16,1.12E+18,0,FALSE,0,0,9,19,127,0,9,FALSE,TRUE,1,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE
17,1.12E+18,0,FALSE,0,0,19,1560,661,1,3926,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
18,1.12E+18,0,FALSE,0,0,3103,62,141,0,4078,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,TRUE,TRUE,FALSE
19,1.12E+18,0,FALSE,1,0,3120,789,353,0,99941,FALSE,FALSE,0,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
20,1.12E+18,0,FALSE,1,0,2534,154,7,0,3469,FALSE,FALSE,0,FALSE,FALSE,TRUE,0,TRUE,FALSE,TRUE,FALSE
21,1.12E+18,0,FALSE,1,0,7311,534,2366,0,26804,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
22,1.12E+18,0,FALSE,1,2,47720,903,85,2,304310,FALSE,FALSE,1,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE
23,1.12E+18,0,FALSE,1,0,0,473,0,0,309542,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
24,1.12E+18,0,TRUE,0,0,0,4,14,0,2,FALSE,TRUE,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,FALSE
25,1.12E+18,0,FALSE,1,0,3671,47576,46064,0,6561,FALSE,TRUE,0,FALSE,TRUE,TRUE,1,TRUE,FALSE,TRUE,FALSE
26,1.12E+18,0,FALSE,1,0,5945,697,781,0,3060,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
27,1.12E+18,0,FALSE,1,10,14557,186,148,3,3924,FALSE,FALSE,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE
28,1.12E+18,0,FALSE,1,0,0,4,2,0,5783,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
29,1.12E+18,0,FALSE,1,0,5945,697,781,0,3060,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
30,1.12E+18,0,FALSE,1,1,3060,2612,3437,1,5547,FALSE,TRUE,0,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE
